0.000000	7.000000
0.221470	7.000000
0.313441	7.001744
0.384181	7.003619
0.443958	7.005537
0.496746	7.007471
0.544583	7.009407
0.588675	7.011340
0.629810	7.013265
0.668534	7.015181
0.705243	7.017084
0.740239	7.018974
0.773752	7.020850
0.805968	7.022712
0.837037	7.024559
0.867081	7.026390
0.896204	7.028206
0.924492	7.030006
0.952021	7.031789
0.978853	7.033557
1.005044	7.035308
1.030644	7.037043
1.055694	7.038762
1.080234	7.040464
1.104297	7.042149
1.127914	7.043818
1.151111	7.045471
1.173914	7.047107
1.196345	7.048726
1.218425	7.050329
1.240172	7.051915
1.261603	7.053485
1.282734	7.055038
1.303580	7.056575
1.324154	7.058096
1.344468	7.059600
1.364534	7.061087
1.384362	7.062559
1.403963	7.064014
1.423346	7.065453
1.442520	7.066875
1.461492	7.068281
1.480271	7.069671
1.498863	7.071045
1.517275	7.072403
1.535515	7.073745
1.553587	7.075071
1.571497	7.076380
1.589252	7.077674
1.606855	7.078952
1.624312	7.080214
1.641628	7.081460
1.658807	7.082690
1.675852	7.083905
1.692768	7.085104
1.709559	7.086287
1.726228	7.087454
1.742779	7.088606
1.759215	7.089742
1.775539	7.090863
1.791754	7.091968
1.807863	7.093057
1.823869	7.094131
1.839774	7.095190
1.855581	7.096234
1.871293	7.097261
1.886910	7.098274
1.902437	7.099272
1.917875	7.100254
1.933226	7.101221
1.948493	7.102172
1.963676	7.103109
1.978778	7.104030
1.993801	7.104937
2.008746	7.105828
2.023616	7.106705
2.038411	7.107566
2.053133	7.108412
2.067784	7.109244
2.082366	7.110060
2.096879	7.110862
2.111325	7.111649
2.125705	7.112421
2.140021	7.113178
2.154274	7.113921
2.168465	7.114649
2.182595	7.115362
2.196665	7.116061
2.210677	7.116744
2.224631	7.117414
2.238529	7.118068
2.252371	7.118709
2.266159	7.119334
2.279893	7.119945
2.293575	7.120542
2.307204	7.121124
2.320783	7.121692
2.334312	7.122246
2.347792	7.122785
2.361223	7.123309
2.374607	7.123820
2.387943	7.124316
2.401234	7.124798
2.414479	7.125265
2.427679	7.125719
2.440836	7.126158
2.453949	7.126583
2.467019	7.126994
2.480048	7.127391
2.493034	7.127773
2.505980	7.128142
2.518886	7.128496
2.531752	7.128837
2.544579	7.129163
2.557368	7.129476
2.570118	7.129774
2.582831	7.130059
2.595507	7.130329
2.608146	7.130586
2.620750	7.130829
2.633318	7.131058
2.645850	7.131273
2.658349	7.131474
2.670813	7.131661
2.683243	7.131835
2.695641	7.131995
2.708005	7.132141
2.720337	7.132273
2.732637	7.132391
2.744905	7.132496
2.757142	7.132587
2.769348	7.132665
